Iteration 0: Weight 0; Strategy Change = 0.131378
Iteration 1: Weight 0; Strategy Change = 0.0310801
Iteration 2: Weight 0; Strategy Change = 0.000335541
Iteration 3: Weight 0; Strategy Change = 0
Iteration 4: Weight 0; Strategy Change = 0
Iteration 5: Weight 0; Strategy Change = 0
Iteration 6: Weight 0; Strategy Change = 0
Iteration 7: Weight 0; Strategy Change = 0
Iteration 8: Weight 0; Strategy Change = 0
Iteration 9: Weight 0; Strategy Change = 0
Iteration 10: Weight 0; Strategy Change = 0
Iteration 11: Weight 0; Strategy Change = 0
Iteration 12: Weight 0; Strategy Change = 0
Iteration 13: Weight 0; Strategy Change = 0
Iteration 14: Weight 0; Strategy Change = 0
Iteration 15: Weight 0; Strategy Change = 0
Iteration 16: Weight 0; Strategy Change = 0
Iteration 17: Weight 0; Strategy Change = 0
Iteration 18: Weight 0; Strategy Change = 0
Iteration 19: Weight 0; Strategy Change = 0
Iteration 20: Weight 0; Strategy Change = 0
Iteration 21: Weight 0; Strategy Change = 0
Iteration 22: Weight 0; Strategy Change = 0
Iteration 23: Weight 0; Strategy Change = 0
Iteration 24: Weight 0; Strategy Change = 0
Iteration 25: Weight 0; Strategy Change = 0
Iteration 26: Weight 0; Strategy Change = 0
Iteration 27: Weight 0; Strategy Change = 0
Iteration 28: Weight 0; Strategy Change = 0
Iteration 29: Weight 0; Strategy Change = 0
Iteration 30: Weight 0; Strategy Change = 0
Iteration 31: Weight 0; Strategy Change = 0
Iteration 32: Weight 0; Strategy Change = 0
Iteration 33: Weight 0; Strategy Change = 0
Iteration 34: Weight 0; Strategy Change = 0
Iteration 35: Weight 0; Strategy Change = 0
Iteration 36: Weight 0; Strategy Change = 0
Iteration 37: Weight 0; Strategy Change = 0
Iteration 38: Weight 0; Strategy Change = 0
Iteration 39: Weight 0; Strategy Change = 0
Iteration 40: Weight 0; Strategy Change = 0
Iteration 41: Weight 0; Strategy Change = 0
Iteration 42: Weight 0; Strategy Change = 0
Iteration 43: Weight 0; Strategy Change = 0
Iteration 44: Weight 0; Strategy Change = 0
Iteration 45: Weight 0; Strategy Change = 0
Iteration 46: Weight 0; Strategy Change = 0
Iteration 47: Weight 0; Strategy Change = 0
Iteration 48: Weight 0; Strategy Change = 0
Iteration 49: Weight 0; Strategy Change = 0
Iteration 50: Weight 0; Strategy Change = 0
Iteration 51: Weight 0; Strategy Change = 0
Iteration 52: Weight 0; Strategy Change = 0
Iteration 53: Weight 0; Strategy Change = 0
Iteration 54: Weight 0; Strategy Change = 0
Iteration 55: Weight 0; Strategy Change = 0
Iteration 56: Weight 0; Strategy Change = 0
Iteration 57: Weight 0; Strategy Change = 0
Iteration 58: Weight 0; Strategy Change = 0
Iteration 59: Weight 0; Strategy Change = 0
Iteration 60: Weight 0; Strategy Change = 0
Iteration 61: Weight 0; Strategy Change = 0
Iteration 62: Weight 0; Strategy Change = 0
Iteration 63: Weight 0; Strategy Change = 0
Iteration 64: Weight 0; Strategy Change = 0
Iteration 65: Weight 0; Strategy Change = 0
Iteration 66: Weight 0; Strategy Change = 0
Iteration 67: Weight 0; Strategy Change = 0
Iteration 68: Weight 0; Strategy Change = 0
Iteration 69: Weight 0; Strategy Change = 0
Iteration 70: Weight 0; Strategy Change = 0
Iteration 71: Weight 0; Strategy Change = 0
Iteration 72: Weight 0; Strategy Change = 0
Iteration 73: Weight 0; Strategy Change = 0
Iteration 74: Weight 0; Strategy Change = 0
Iteration 75: Weight 0; Strategy Change = 0
Iteration 76: Weight 0; Strategy Change = 0
Iteration 77: Weight 0; Strategy Change = 0
Iteration 78: Weight 0; Strategy Change = 0
Iteration 79: Weight 0; Strategy Change = 0
Iteration 80: Weight 0; Strategy Change = 0
Iteration 81: Weight 0; Strategy Change = 0
Iteration 82: Weight 0; Strategy Change = 0
Iteration 83: Weight 0; Strategy Change = 0
Iteration 84: Weight 0; Strategy Change = 0
Iteration 85: Weight 0; Strategy Change = 0
Iteration 86: Weight 0; Strategy Change = 0
Iteration 87: Weight 0; Strategy Change = 0
Iteration 88: Weight 0; Strategy Change = 0
Iteration 89: Weight 0; Strategy Change = 0
Iteration 90: Weight 0; Strategy Change = 0
Iteration 91: Weight 0; Strategy Change = 0
Iteration 92: Weight 0; Strategy Change = 0
Iteration 93: Weight 0; Strategy Change = 0
Iteration 94: Weight 0; Strategy Change = 0
Iteration 95: Weight 0; Strategy Change = 0
Iteration 96: Weight 0; Strategy Change = 0
Iteration 97: Weight 0; Strategy Change = 0
Iteration 98: Weight 0; Strategy Change = 0
Iteration 99: Weight 0; Strategy Change = 0
Iteration 100: Weight 0; Strategy Change = 0
Iteration 101: Weight 0; Strategy Change = 0
Iteration 102: Weight 0; Strategy Change = 0
Iteration 103: Weight 0; Strategy Change = 0
Iteration 104: Weight 0; Strategy Change = 0
Iteration 105: Weight 0; Strategy Change = 0
