Iteration 0: Weight 0; Strategy Change = 0.131378
Iteration 1: Weight 0.25; Strategy Change = 0.233957
Iteration 2: Weight 0.694444; Strategy Change = 0.0059272
Iteration 3: Weight 1.25694; Strategy Change = 0.0105353
Iteration 4: Weight 1.89694; Strategy Change = 0.00447286
Iteration 5: Weight 2.59139; Strategy Change = 0.00234382
Iteration 6: Weight 3.32608; Strategy Change = 0.0013877
Iteration 7: Weight 4.09171; Strategy Change = 0.000891568
Iteration 8: Weight 4.88183; Strategy Change = 0.000607651
Iteration 9: Weight 5.69183; Strategy Change = 0.000433139
Iteration 10: Weight 6.51828; Strategy Change = 0.000319836
Iteration 11: Weight 7.35856; Strategy Change = 0.000243006
Iteration 12: Weight 8.21063; Strategy Change = 0.000189034
Iteration 13: Weight 9.07287; Strategy Change = 0.00014999
Iteration 14: Weight 9.94398; Strategy Change = 0.000121036
Iteration 15: Weight 10.8229; Strategy Change = 9.91042e-05
Iteration 16: Weight 11.7087; Strategy Change = 8.21833e-05
Iteration 17: Weight 12.6007; Strategy Change = 6.89169e-05
Iteration 18: Weight 13.4982; Strategy Change = 5.83673e-05
Iteration 19: Weight 14.4007; Strategy Change = 4.98716e-05
Iteration 20: Weight 15.3077; Strategy Change = 4.29524e-05
Iteration 21: Weight 16.2189; Strategy Change = 3.72595e-05
Iteration 22: Weight 17.1338; Strategy Change = 3.25325e-05
Iteration 23: Weight 18.0522; Strategy Change = 2.85744e-05
Iteration 24: Weight 18.9738; Strategy Change = 2.52349e-05
Iteration 25: Weight 19.8984; Strategy Change = 2.23973e-05
Iteration 26: Weight 20.8257; Strategy Change = 1.99708e-05
Iteration 27: Weight 21.7555; Strategy Change = 1.78833e-05
Iteration 28: Weight 22.6877; Strategy Change = 1.60776e-05
Iteration 29: Weight 23.6222; Strategy Change = 1.45076e-05
Iteration 30: Weight 24.5587; Strategy Change = 1.31359e-05
Iteration 31: Weight 25.4972; Strategy Change = 1.19323e-05
Iteration 32: Weight 26.4375; Strategy Change = 1.08717e-05
Iteration 33: Weight 27.3795; Strategy Change = 9.93339e-06
Iteration 34: Weight 28.3232; Strategy Change = 9.10028e-06
Iteration 35: Weight 29.2684; Strategy Change = 8.35799e-06
Iteration 36: Weight 30.2151; Strategy Change = 7.69446e-06
Iteration 37: Weight 31.1632; Strategy Change = 7.0995e-06
Iteration 38: Weight 32.1125; Strategy Change = 6.56446e-06
Iteration 39: Weight 33.0632; Strategy Change = 6.08198e-06
Iteration 40: Weight 34.015; Strategy Change = 5.64574e-06
Iteration 41: Weight 34.9679; Strategy Change = 5.25034e-06
Iteration 42: Weight 35.9219; Strategy Change = 4.89109e-06
Iteration 43: Weight 36.877; Strategy Change = 4.56395e-06
Iteration 44: Weight 37.8331; Strategy Change = 4.26542e-06
Iteration 45: Weight 38.7901; Strategy Change = 3.99241e-06
Iteration 46: Weight 39.748; Strategy Change = 3.74227e-06
Iteration 47: Weight 40.7067; Strategy Change = 3.51264e-06
Iteration 48: Weight 41.6663; Strategy Change = 3.30145e-06
Iteration 49: Weight 42.6267; Strategy Change = 3.1069e-06
Iteration 50: Weight 43.5879; Strategy Change = 2.92738e-06
Iteration 51: Weight 44.5498; Strategy Change = 2.76145e-06
Iteration 52: Weight 45.5124; Strategy Change = 2.60785e-06
Iteration 53: Weight 46.4757; Strategy Change = 2.46547e-06
Iteration 54: Weight 47.4397; Strategy Change = 2.33328e-06
Iteration 55: Weight 48.4043; Strategy Change = 2.2104e-06
Iteration 56: Weight 49.3695; Strategy Change = 2.09602e-06
Iteration 57: Weight 50.3353; Strategy Change = 1.98941e-06
Iteration 58: Weight 51.3017; Strategy Change = 1.88993e-06
Iteration 59: Weight 52.2687; Strategy Change = 1.79699e-06
